ImdbID,Name,Runtime,ReleaseDate,OriginCountries,Languages,Genres,Rating,Plot
tt33240751,Rewind,02:15:00,2024-10-18,['India'],['Telugu'],['Drama'],9.5,"Karthik falls for Shanthi at first sight in a lift. After impressing her, fate takes an unexpected turn. In a bid to win her back, Karthik travels through time to alter events. But does he succeed in his quest for love?"
tt33088872,Veekshanam,02:02:00,2024-10-18,['India'],['Telugu'],['Thriller'],8.6,
tt33164896,1980 Lo Radhekrishna,,2024-10-18,['India'],['Telugu'],"['Action', 'Drama', 'Romance']",8.5,In 1980 How Krishna won love in the battle between caste and love in a village called Krishna Lanka. How he changed the gallows from caste madness. The story of how Radha won Krishna's love.
tt14780126,Murphy,02:16:00,2024-10-18,['India'],['Kannada'],['Romance'],9.2,Ordinary guy David's life takes an extraordinary turn after interacting with his late grandfather's peculiar radio.
tt28591468,Porattu Nadakam,02:04:00,2024-10-18,['India'],['Malayalam'],"['Satire', 'Comedy']",9.3,"Porattu Nadakam, Which tells the story of a village called Gopalapura in the backdrop of North Malabar. The events unfolding in Gopalapura for 21 days are presented through satire. Art forms like Kothamuriyatam and Porattu Nadakam are the main Background."
tt33773297,Kallu Compound 1995,02:20:00,2024-10-18,['India'],['Telugu'],"['Action', 'Family']",8.4,"A Telangana village under prohibition in 1995, where a powerful toddy tapper, Pratap Goud, exploits villagers."
tt32643879,Outside,02:22:00,2024-10-17,['Philippines'],['Filipino'],"['Psychological Horror', 'Psychological Thriller', 'Zombie Horror', 'Horror', 'Thriller']",5.1,"A family trying to outrun the zombie outbreak by returning to the father's childhood farmhouse, fortifying it to keep out ""The Dead Ones"". Alas, there is just as much horror and trauma at the ancestral home as there is outside the gates."
tt29268110,Smile 2,02:07:00,2024-10-18,"['United States', 'Canada']",['English'],"['Psychological Horror', 'Horror', 'Mystery', 'Thriller']",7.2,"About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past."
tt32245158,Justice,01:53:00,2024-10-16,['Poland'],['Polish'],"['Heist', 'Crime', 'Drama']",6.3,"A discharged police officer is given a chance to regain his former life by capturing a bank robbery crew. Teaming up with a young policewoman, the ex-cop must act swiftly before the heist draws unwanted scrutiny from the new authorities."
tt33484071,Sweet Bobby: My Catfish Nightmare,01:22:00,2024-10-16,['United Kingdom'],['English'],['Documentary'],6.2,"A woman's online courtship takes an unsettling turn when her romantic interest harbors a dark secret and sinister motives, leading to a harrowing ordeal."
tt32743167,Carved,01:35:00,2024-10-21,['United States'],['English'],"['Dark Comedy', 'Monster Horror', 'Teen Horror', 'Comedy', 'Horror']",4.4,"A group of survivors finds themselves trapped in a historical reenactment village on Halloween, where they must unite to battle a sentient, vengeful pumpkin."
tt28497675,The Park Maniac,01:43:00,2024-10-18,['Brazil'],['Portuguese'],"['Docudrama', 'Serial Killer', 'True Crime', 'Crime', 'Drama']",4.9,"Based on a true story, an infamous serial killer, who assaulted and killed several women in the 90s, gets on a collision course with a young journalist eager for the truth and a career-changing article."
