ImdbID,Name,Directors,OriginCountries,Languages,Genres,Rating
tt9784708,Rise of the Teenage Mutant Ninja Turtles: The Movie," Andy Suriano, Ant Ward "," United States, Germany, Philippines, Belgium, Canada, India ", English , Superhero Teen Adventure Teen Comedy Action Adventure Animation Comedy Drama Family Fantasy ,6.2
tt26420234,Music by John Williams, Laurent Bouzereau , United States , English , Music Documentary Biography Documentary Music ,8.4
tt32313870,Blue Cave, Altan Dönmez , Turkey ," Turkish, English ", Drama ,5.2
tt28265594,Ajab Tamasha, Ahmed Nayeem , India , Hindi , Comedy ,7.1
tt31853193,Gundi: Legend of Love, Dimitar Dimitrov , Bulgaria , Bulgarian , Biography Sport ,9.3
tt4225012,A Little White Lie, Michael Maren , United States , English , Comedy ,5.8
tt29491755,Love Reddy, Smaran Reddy , India ," Kannada, Telugu ", Romance ,9.1
tt18951176,Gulmohar, Rahul V. Chittella , India , Hindi , Drama Family ,7.6
tt33477418,Like Aani Subscribe, Abhishek Merukar , India , Marathi , Mystery ,8.2
tt17527124,Collide, Mukunda Michael Dewil , United States , English , Thriller ,4.3
tt20413650,The Donor Party, Thom Harp , United States , English , Raunchy Comedy Comedy ,4.6
tt32639066,Rocket Driver, Sriram Ananthashankar , India ,unknown, Comedy ,9.6
tt29684697,Anukunnavanni Jaragavu Konni, G. Sandeep , India , Telugu ,  ,8.6
tt14183118,Sabaash Chandrabose, V.C. Abhilash , India , Malayalam , Comedy ,5.5
tt30447798,Aalan, R Siva , India , Tamil , Fantasy ,9.6
tt26451068,Escape, Howard J. Ford , United Kingdom , English , Thriller ,5.3
tt14967472,Of an Age, Goran Stolevski , Australia ," English, Serbian ", Drama Romance ,7.1
tt33240751,Rewind, Kalyan Chakravarthy , India , Telugu , Drama ,9.5
tt24131660,Bring Him to Me, Luke Sparke , Australia , English , Crime Thriller ,5.3
tt11426572,Wedding Season, Tom Dey , United States , English , Feel-Good Romance Comedy Romance ,6.3
tt33088872,Veekshanam, Manoj Palleti , India , Telugu , Thriller ,8.6
tt26753672,The Activated Man, Nicholas Gyeney , United States , English , Thriller ,7.3
tt11952606,Easter Sunday, Jay Chandrasekhar ," United States, Canada, India, Philippines ", English , Comedy ,5.3
tt14463514,Are You, Alauda Ruiz de Azúa ," Spain, United States ", Spanish , Comedy Romance ,5.7
tt33164896,1980 Lo Radhekrishna, Ismail Shaik , India , Telugu , Action Drama Romance ,8.5
tt17069062,Craving, J. Horton , United States , English , B-Horror Caper Crime Horror Thriller ,4.1
tt14780126,Murphy, B.S.P. Varma , India , Kannada , Romance ,9.2
tt28591468,Porattu Nadakam," Naushad Saffron, Siddique ", India , Malayalam , Satire Comedy ,9.3
tt33773297,Kallu Compound 1995, Praveen Jetti , India , Telugu , Action Family ,8.4
tt27411198,Garudan, Arun Varma , India , Malayalam , Crime Thriller ,7.3
tt7175968,My Neighbor Adolf, Leon Prudovsky ," Israel, Poland, Colombia "," English, German, Yiddish, Spanish ", Comedy Drama ,6.6
tt32643879,Outside, Carlo Ledesma , Philippines , Filipino , Psychological Horror Psychological Thriller Zombie Horror Horror Thriller ,5.1
tt25376056,Keedaa Cola, Tharun Bhascker Dhaassyam , India , Telugu , Action Comedy Crime ,7.4
tt29268110,Smile 2, Parker Finn ," United States, Canada ", English , Psychological Horror Horror Mystery Thriller ,7.2
tt26880702,Finding Michael, Tom Beard , United Kingdom , English , Documentary ,5.9
